name,year,count
Earl,1989,602
Emmitt,1989,22
Joe,1989,1509
John,1989,29970
Ken,1989,137
Kurt,1989,977
Lawrence,1989,1766
Marcus,1989,5432
Mark,1989,11360
Peyton,1989,142
Rich,1989,24
Shaun,1989,1417
Steve,1989,1001
Terrell,1989,1006
Thurman,1989,35
Tom,1989,187
Aaron,1990,14633
Adrian,1990,4375
Brett,1990,4470
Brian,1990,16969
Dan,1990,233
Earl,1990,570
Emmitt,1990,21
Joe,1990,1470
John,1990,29148
Ken,1990,147
Kurt,1990,957
Lawrence,1990,1790
Marcus,1990,5328
Mark,1990,10724
Peyton,1990,182
Rich,1990,21
Shaun,1990,1388
Steve,1990,1012
Terrell,1990,944
Thurman,1990,47
Tom,1990,215
Aaron,1991,14342
Adrian,1991,4249
Brett,1991,4223
Brian,1991,14956
Dan,1991,228
Earl,1991,539
Emmitt,1991,27
Joe,1991,1474
John,1991,27861
Ken,1991,127
Kurt,1991,744
Lawrence,1991,1748
Marcus,1991,5079
Mark,1991,9705
Peyton,1991,193
Rich,1991,14
Shaun,1991,1215
Steve,1991,901
Terrell,1991,960
Thurman,1991,41
Tom,1991,192
Aaron,1992,14593
Adrian,1992,4166
Brett,1992,3887
Brian,1992,14142
Dan,1992,217
Earl,1992,474
Emmitt,1992,30
Joe,1992,1402
John,1992,26296
Ken,1992,113
Kurt,1992,691
Lawrence,1992,1622
Marcus,1992,4554
Mark,1992,8762
Peyton,1992,585
Rich,1992,17
Shaun,1992,1020
Steve,1992,887
Terrell,1992,864
Thurman,1992,47
Tom,1992,151
Aaron,1993,13936
Adrian,1993,4076
Brett,1993,3598
Brian,1993,12587
Dan,1993,208
Earl,1993,448
Emmitt,1993,58
Joe,1993,1259
John,1993,25058
Ken,1993,103
Kurt,1993,587
Lawrence,1993,1551
Marcus,1993,5072
Mark,1993,8078
Peyton,1993,859
Rich,1993,15
Shaun,1993,978
Steve,1993,837
Terrell,1993,863
Thurman,1993,42
Tom,1993,145
Aaron,1994,14484
Adrian,1994,4054
Brett,1994,3542
Brian,1994,11679
Dan,1994,177
Earl,1994,381
Emmitt,1994,71
Joe,1994,1210
John,1994,24221
Ken,1994,112
Kurt,1994,554
Lawrence,1994,1273
Marcus,1994,5270
Mark,1994,7507
Peyton,1994,942
Rich,1994,18
Shaun,1994,808
Steve,1994,714
Terrell,1994,746
Thurman,1994,39
Tom,1994,116
Aaron,1995,13368
Adrian,1995,4139
Brett,1995,3684
Brian,1995,11040
Dan,1995,168
Earl,1995,321
Emmitt,1995,68
Joe,1995,1083
John,1995,23275
Ken,1995,126
Kurt,1995,537
Lawrence,1995,1149
Marcus,1995,4658
Mark,1995,6908
Peyton,1995,1041
Rich,1995,17
Shaun,1995,738
Steve,1995,753
Terrell,1995,718
Thurman,1995,30
Tom,1995,134
Aaron,1996,12047
Adrian,1996,4322
Brett,1996,3668
Brian,1996,10500
Dan,1996,174
Earl,1996,319
Emmitt,1996,81
Joe,1996,1065
John,1996,22201
Ken,1996,119
Kurt,1996,482
Lawrence,1996,1122
Marcus,1996,4556
Mark,1996,6610
Peyton,1996,1876
Rich,1996,24
Shaun,1996,667
Steve,1996,649
Terrell,1996,679
Thurman,1996,34
Tom,1996,125
Aaron,1997,11231
Adrian,1997,4344
Brett,1997,3336
Brian,1997,9756
Dan,1997,164
Earl,1997,278
Emmitt,1997,63
Joe,1997,1018
John,1997,21398
Ken,1997,125
Kurt,1997,439
Lawrence,1997,985
Marcus,1997,4191
Mark,1997,6182
Peyton,1997,2424
Rich,1997,14
Shaun,1997,650
Steve,1997,627
Terrell,1997,688
Thurman,1997,27
Tom,1997,125
Aaron,1998,10603
Adrian,1998,5674
Brett,1998,2954
Brian,1998,9168
Dan,1998,148
Earl,1998,309
Emmitt,1998,57
Joe,1998,1009
John,1998,20639
Ken,1998,104
Kurt,1998,368
Lawrence,1998,1040
Marcus,1998,4017
Mark,1998,5903
Peyton,1998,2869
Rich,1998,14
Shaun,1998,714
Steve,1998,640
Terrell,1998,870
Thurman,1998,27
Tom,1998,132
Aaron,1999,9901
Adrian,1999,5242
Brett,1999,2829
Brian,1999,8825
Dan,1999,139
Earl,1999,269
Emmitt,1999,45
Joe,1999,967
John,1999,20377
Ken,1999,119
Kurt,1999,334
Lawrence,1999,917
Marcus,1999,3880
Mark,1999,5617
Peyton,1999,2736
Rich,1999,22
Shaun,1999,710
Steve,1999,660
Terrell,1999,712
Thurman,1999,27
Tom,1999,116
Aaron,2000,9586
Adrian,2000,5549
Brett,2000,2423
Brian,2000,8984
Dan,2000,162
Earl,2000,245
Emmitt,2000,43
Joe,2000,917
John,2000,20108
Ken,2000,123
Kurt,2000,315
Lawrence,2000,888
Marcus,2000,3808
Mark,2000,5235
Peyton,2000,3968
Rich,2000,18
Shaun,2000,769
Steve,2000,649
Terrell,2000,614
Thurman,2000,24
Tom,2000,99
