name,year,count
Benjamin,1880,490
Calvin,1880,134
Chester,1880,168
Dwight,1880,12
Franklin,1880,120
George,1880,5152
Gerald,1880,11
Grover,1880,18
Harry,1880,2158
Herbert,1880,424
James,1880,5949
John,1880,9701
Richard,1880,728
Theodore,1880,232
Warren,1880,158
William,1880,9562
Benjamin,1881,481
Calvin,1881,138
Chester,1881,274
Dwight,1881,21
Franklin,1881,117
George,1881,4694
Gerald,1881,14
Grover,1881,32
Harry,1881,2002
Herbert,1881,369
James,1881,5466
John,1881,8795
Richard,1881,641
Theodore,1881,178
Warren,1881,156
William,1881,8554
Benjamin,1882,478
Calvin,1882,123
Chester,1882,300
Dwight,1882,17
Franklin,1882,112
George,1882,5225
Gerald,1882,15
Grover,1882,56
Harry,1882,2246
Herbert,1882,431
James,1882,5910
John,1882,9597
Richard,1882,746
Theodore,1882,232
Warren,1882,183
William,1882,9329
Benjamin,1883,508
Calvin,1883,122
Chester,1883,290
Dwight,1883,11
Franklin,1883,94
George,1883,4758
Gerald,1883,13
Grover,1883,127
Harry,1883,2116
Herbert,1883,422
James,1883,5249
John,1883,8934
Richard,1883,649
Ronald,1883,6
Theodore,1883,185
Warren,1883,146
William,1883,8427
Benjamin,1884,509
Calvin,1884,139
Chester,1884,338
Dwight,1884,21
Franklin,1884,93
George,1884,5001
Gerald,1884,19
Grover,1884,809
Harry,1884,2338
Herbert,1884,421
James,1884,5726
John,1884,9428
Richard,1884,749
Ronald,1884,11
Theodore,1884,211
Warren,1884,164
William,1884,8931
Benjamin,1885,464
Calvin,1885,119
Chester,1885,273
Dwight,1885,30
Franklin,1885,117
George,1885,4703
Gerald,1885,23
Grover,1885,774
Harry,1885,2209
Herbert,1885,388
James,1885,5201
John,1885,8801
Richard,1885,672
Theodore,1885,199
Warren,1885,151
William,1885,8077
Benjamin,1886,463
Calvin,1886,109
Chester,1886,287
Dwight,1886,17
Franklin,1886,127
George,1886,4709
Gerald,1886,28
Grover,1886,407
Harry,1886,2272
Herbert,1886,400
James,1886,5384
John,1886,9074
Richard,1886,728
Ronald,1886,13
Theodore,1886,258
Warren,1886,144
William,1886,8287
Benjamin,1887,473
Calvin,1887,122
Chester,1887,207
Dwight,1887,19
Franklin,1887,89
George,1887,4318
Gerald,1887,22
Grover,1887,290
Harry,1887,2070
Herbert,1887,445
James,1887,4787
John,1887,8166
Richard,1887,629
Ronald,1887,8
Theodore,1887,201
Warren,1887,163
William,1887,7514
Benjamin,1888,781
Calvin,1888,123
Chester,1888,288
Dwight,1888,21
Franklin,1888,129
George,1888,4948
Gerald,1888,30
Grover,1888,474
Harry,1888,2772
Herbert,1888,485
James,1888,5607
John,1888,9300
Richard,1888,780
Ronald,1888,15
Theodore,1888,249
Warren,1888,148
William,1888,8747
Benjamin,1889,760
Calvin,1889,107
Chester,1889,275
Dwight,1889,16
Franklin,1889,100
George,1889,4472
Gerald,1889,48
Grover,1889,210
Harry,1889,2564
Herbert,1889,472
James,1889,5046
John,1889,8600
Richard,1889,716
Ronald,1889,11
Theodore,1889,231
Warren,1889,167
William,1889,7818
Benjamin,1890,537
Calvin,1890,116
Chester,1890,263
Dwight,1890,24
Franklin,1890,90
George,1890,4495
Gerald,1890,44
Grover,1890,177
Harry,1890,2357
Herbert,1890,467
James,1890,5130
John,1890,8558
Richard,1890,744
Ronald,1890,20
Theodore,1890,190
Warren,1890,157
William,1890,7528
Benjamin,1891,461
Calvin,1891,104
Chester,1891,252
Dwight,1891,25
Franklin,1891,109
George,1891,3954
Gerald,1891,45
