name,year
Aaron,2014
Peyton,2013
Adrian,2012
Aaron,2011
Tom,2010
Peyton,2009
Peyton,2008
Tom,2007
LaDainian,2006
Shaun,2005
Peyton,2004
Peyton,2003
Steve,2002
Rich,2001
Kurt,2000
Terrell,1999
Brett,1998
Brett,1997
Brett,1996
Brett,1995
Steve,1994
Emmitt,1993
Steve,1992
Thurman,1991
Joe,1990
Joe,1989
Boomer,1988
John,1987
Lawrence,1986
Marcus,1985
Dan,1984
Joe,1983
Mark,1982
Ken,1981
Brian,1980
Earl,1979
