name,year
Stephen,2014
Kevin,2013
LeBron,2012
LeBron,2011
Derrick,2010
LeBron,2009
LeBron,2008
Kobe,2007
Dirk,2006
Steve,2005
Steve,2004
Kevin,2003
Tim,2002
Tim,2001
Allen,2000
Shaquille,1999
Karl,1998
Michael,1997
Karl,1996
Michael,1995
David,1994
Hakeem,1993
Charles,1992
Michael,1991
Michael,1990
Magic,1989
Magic,1988
Michael,1987
Magic,1986
Larry,1985
Larry,1984
Larry,1983
Moses,1982
Moses,1981
Julius,1980
